channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11,channel12,channel13,channel14,channel15,channel16,3.99,3.95,3.9,Bit per symbol/diff modulation format
1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0.002531604,0.00260429,0.002154311,
1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0.002722245,0.002589001,0.002056188,
1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0.003245705,0.002951566,0.002356468,
1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0.002055386,0.002171857,0.001744525,
1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0.002518259,0.002636273,0.001891073,
1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0.002253531,0.00247633,0.00192667,
1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0.002722614,0.00287231,0.002309521,
1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0.002470111,0.0023605,0.002058751,
1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.002561595,0.002680406,0.002254027,
1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0.002651647,0.002873126,0.002324211,
1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0.002940594,0.002988758,0.002428544,
1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0.002085292,0.002449818,0.001840556,
1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0.00231569,0.002361342,0.002018482,
